,home_team,away_team,date,home_team_win,spread,home_spread,home_wins,home_goals,home_shots,home_PP%,home_FOW%,home_PIM,home_hits,home_blocked,home_giveaways,home_takeaways,home_save%,home_shot%,home_PDO,home_corsi,away_spread,away_wins,away_goals,away_shots,away_PP%,away_FOW%,away_PIM,away_hits,away_blocked,away_giveaways,away_takeaways,away_save%,away_shot%,away_PDO,away_corsi
0,ANA,MIN,2015-10-18,1,3,-2.33333333333,0.0,0.333333333333,33.6666666667,0.0,51.2,11.3333333333,23.0,14.3333333333,12.0,5.66666666667,1.13333333333,0.0114942528736,1.14482758621,7.33333333333,0.0,0.5,2.5,25.0,12.5,53.3,17.0,24.0,8.0,7.0,2.5,7.7,0.077027027027,7.77702702703,8.5
1,LAK,COL,2015-10-18,1,1,-1.0,0.5,1.0,26.0,12.5,49.6,11.5,25.5,8.0,9.5,2.0,2.7,0.027027027027,2.72702702703,0.0,-0.5,0.5,2.5,23.5,12.5,49.0,6.0,18.0,11.0,8.0,6.0,4.55,0.0454545454545,4.59545454545,3.5
2,NYR,NJD,2015-10-18,0,-1,-3.0,0.0,0.5,33.0,0.0,57.1,12.0,21.0,14.5,18.0,9.5,5.9,0.0590701219512,5.95907012195,9.5,-1.0,0.0,1.0,27.5,33.35,42.9,4.0,24.0,7.5,9.0,4.0,3.7,0.0373641304348,3.73736413043,0.5
3,VAN,EDM,2015-10-18,0,-1,0.666666666667,0.666666666667,2.33333333333,28.3333333333,0.0,49.3333333333,11.6666666667,22.0,11.3333333333,10.3333333333,4.33333333333,4.06666666667,0.0409060175794,4.10757268425,-1.66666666667,-0.333333333333,0.333333333333,3.0,27.3333333333,8.33333333333,54.0666666667,8.33333333333,22.0,15.3333333333,14.3333333333,7.0,7.9,0.0790598290598,7.97905982906,5.66666666667
4,WPG,STL,2015-10-18,0,-2,1.0,0.666666666667,3.0,27.6666666667,11.1,58.1333333333,8.66666666667,24.0,12.6666666667,12.3333333333,12.6666666667,7.16666666667,0.0717664449372,7.2384331116,14.0,1.33333333333,1.0,4.0,29.6666666667,8.33333333333,47.6666666667,7.66666666667,19.3333333333,14.0,10.6666666667,5.33333333333,11.0666666667,0.110608345902,11.1772750126,-3.66666666667
5,NYR,SJS,2015-10-19,1,4,-2.33333333333,0.0,0.666666666667,31.0,0.0,56.9,11.6666666667,23.3333333333,11.6666666667,17.6666666667,9.33333333333,5.16666666667,0.0517257603132,5.21839242698,7.33333333333,0.666666666667,0.666666666667,3.0,30.3333333333,16.6666666667,46.8666666667,6.0,29.0,10.3333333333,11.0,6.33333333333,6.9,0.0692401960784,6.96924019608,2.0
6,CBJ,NYI,2015-10-20,0,-4,-3.0,0.0,2.25,28.75,33.225,50.9,10.25,25.25,9.25,8.75,5.25,10.95,0.109706824341,11.0597068243,5.75,2.0,1.0,4.66666666667,35.3333333333,22.2,56.0333333333,6.66666666667,34.3333333333,13.3333333333,10.0,14.0,13.6666666667,0.136745607334,13.803412274,3.33333333333
7,CGY,WSH,2015-10-20,0,-4,-2.0,0.0,2.0,20.6666666667,16.6666666667,43.8666666667,6.33333333333,17.3333333333,16.3333333333,10.0,5.33333333333,11.6666666667,0.116666666667,11.7833333333,-1.33333333333,0.333333333333,0.666666666667,2.66666666667,29.6666666667,50.0,48.2333333333,7.33333333333,23.3333333333,16.6666666667,16.0,8.66666666667,9.5,0.0947712418301,9.59477124183,3.66666666667
8,MTL,STL,2015-10-20,1,3,2.25,1.0,3.25,34.25,10.0,55.225,10.0,24.75,15.25,12.75,6.75,7.525,0.0748840209587,7.59988402096,4.0,1.5,1.0,4.0,32.5,13.4,46.85,10.25,22.0,12.75,11.0,5.5,10.025,0.100197638737,10.1251976387,-5.75
9,NJD,ARI,2015-10-20,1,1,-0.333333333333,0.333333333333,1.33333333333,26.3333333333,22.2333333333,47.4333333333,6.33333333333,25.3333333333,7.0,11.6666666667,5.66666666667,3.7,0.0372550993022,3.7372550993,1.33333333333,0.333333333333,0.333333333333,3.33333333333,27.3333333333,8.33333333333,55.5,19.3333333333,21.3333333333,13.3333333333,7.0,5.66666666667,7.66666666667,0.0768115942029,7.74347826087,-2.0
10,NSH,TBL,2015-10-20,1,0,0.333333333333,0.666666666667,3.0,30.6666666667,16.6666666667,51.1,12.6666666667,30.3333333333,11.6666666667,9.33333333333,7.66666666667,8.63333333333,0.0865020451447,8.71983537848,0.0,0.0,0.5,3.0,24.75,33.325,52.875,9.75,28.25,8.75,5.25,8.5,10.175,0.101704545455,10.2767045455,2.75
11,PHI,DAL,2015-10-20,0,-1,2.0,1.0,2.0,31.0,8.35,48.2,14.0,29.5,17.0,8.5,5.0,6.65,0.0668756530825,6.71687565308,0.5,2.0,1.0,4.33333333333,37.0,0.0,59.1666666667,9.66666666667,25.3333333333,11.3333333333,11.0,5.33333333333,8.16666666667,0.0815850815851,8.24825174825,8.0
12,PIT,FLA,2015-10-20,1,1,0.666666666667,0.666666666667,2.0,34.0,0.0,49.2333333333,8.33333333333,25.3333333333,12.3333333333,8.66666666667,6.66666666667,5.93333333333,0.0589225589226,5.99225589226,7.66666666667,0.25,0.5,2.25,29.0,10.0,50.175,10.5,28.5,11.25,10.25,5.75,6.325,0.0635381609894,6.38853816099,-3.25
13,BOS,PHI,2015-10-21,0,-1,1.0,0.666666666667,4.66666666667,32.6666666667,41.6666666667,49.9,9.66666666667,23.0,12.0,4.0,10.3333333333,10.7,0.107114624506,10.8071146245,-5.33333333333,1.0,0.666666666667,1.66666666667,32.3333333333,5.56666666667,49.6,12.6666666667,32.0,17.0,10.0,3.66666666667,5.4,0.0541075782455,5.45410757825,1.33333333333
14,BUF,TOR,2015-10-21,1,0,0.0,0.333333333333,2.33333333333,30.3333333333,35.9666666667,51.8333333333,9.66666666667,24.0,8.0,8.0,3.66666666667,10.5,0.105189829328,10.6051898293,0.666666666667,1.0,0.5,3.5,30.5,12.5,42.7,7.0,32.0,12.0,10.0,7.0,8.6,0.0858585858586,8.68585858586,-0.5
